Y_angle
88
82
76
70
64
59
53
48
43
37
31
25
19
13
7
1
-3
-7
-12
-17
-22
-26
-30
-34
-39
-44
-49
-54
-59
-64
-69
-74
-78
-82
-87
-90
-85
-80
-75
-70
-65
-60
-56
-52
-47
-43
-39
-34
-29
-24
-19
-15
-10
-6
-1
2
5
8
11
14
17
20
23
26
29
32
35
39
42
45
48
51
54
57
60
63
66
69
72
75
78
81
84
87
89
78
68
58
47
36
25
14
4
-5
-14
-23
-33
-43
-53
-62
-72
-81
-90
-80
-70
-60
-51
-41
-31
-22
-13
-4
4
12
19
27
34
41
48
55
63
71
78
85
89
59
29
0
-29
-58
-87
-90
-61
-32
-3
24
51
78
