Y_angle
89
84
78
72
66
60
55
50
44
39
34
28
23
17
12
7
2
-2
-6
-10
-14
-18
-22
-26
-30
-34
-38
-42
-46
-50
-55
-59
-63
-68
-72
-76
-80
-84
-88
-90
-86
-81
-76
-72
-68
-63
-59
-55
-51
-47
-43
-39
-35
-31
-28
-25
-21
-17
-14
-10
-6
-2
1
4
7
10
13
16
19
22
25
28
31
34
37
40
43
46
49
51
54
57
60
63
66
69
72
75
78
81
84
87
88
82
76
70
64
58
52
46
40
34
28
22
16
10
4
-1
-6
-11
-16
-21
-26
-31
-36
-41
-46
-51
-56
-61
-66
-71
-75
-80
-85
-89
-90
-85
-80
-75
-70
-65
-60
-56
-52
-47
-43
-39
-34
-30
-26
-22
-18
-14
-10
-6
-2
1
4
7
10
13
16
19
22
25
27
30
32
34
37
40
43
46
48
51
53
56
59
61
63
66
68
71
74
77
79
81
84
87
89
78
68
58
48
38
28
17
7
-2
-11
-20
-29
-38
-48
-57
-67
-76
-85
-90
-80
-71
-61
-52
-43
-34
-25
-16
-7
1
9
17
25
33
41
48
56
64
72
80
88
89
58
27
-3
-33
-63
-90
-60
-30
0
28
56
84
89
38
-12
-62
-90
-40
9
58
88
6
-75
-75
4
83
